work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_category,adjusted_salary
2023,Senior,Full-time,Principal Data Scientist,80000,EUR,85847,ES,Full-Remote,ES,LARGE,Other,85847.0
2023,Mid/Intermediate level,Contractor,ML Engineer,30000,USD,30000,US,Full-Remote,US,SMALL,Machine Learning,30000.0
2023,Mid/Intermediate level,Contractor,ML Engineer,25500,USD,25500,US,Full-Remote,US,SMALL,Machine Learning,25500.0
2023,Senior,Full-time,Data Scientist,175000,USD,175000,CA,Full-Remote,CA,MEDIUM,Data Science,175000.0
2023,Senior,Full-time,Data Scientist,120000,USD,120000,CA,Full-Remote,CA,MEDIUM,Data Science,120000.0
2023,Senior,Full-time,Applied Scientist,222200,USD,222200,US,On-Site,US,LARGE,Data Science,222200.0
2023,Senior,Full-time,Applied Scientist,136000,USD,136000,US,On-Site,US,LARGE,Data Science,136000.0
2023,Senior,Full-time,Data Scientist,219000,USD,219000,CA,On-Site,CA,MEDIUM,Data Science,219000.0
2023,Senior,Full-time,Data Scientist,141000,USD,141000,CA,On-Site,CA,MEDIUM,Data Science,141000.0
2023,Senior,Full-time,Data Scientist,147100,USD,147100,US,On-Site,US,MEDIUM,Data Science,147100.0
2023,Senior,Full-time,Data Scientist,90700,USD,90700,US,On-Site,US,MEDIUM,Data Science,90700.0
2023,Senior,Full-time,Data Analyst,130000,USD,130000,US,Full-Remote,US,MEDIUM,Data Engineering,130000.0
2023,Senior,Full-time,Data Analyst,100000,USD,100000,US,Full-Remote,US,MEDIUM,Data Engineering,100000.0
2023,Entry level,Full-time,Applied Scientist,213660,USD,213660,US,On-Site,US,LARGE,Data Science,213660.0
2023,Entry level,Full-time,Applied Scientist,130760,USD,130760,US,On-Site,US,LARGE,Data Science,130760.0
2023,Senior,Full-time,Data Modeler,147100,USD,147100,US,On-Site,US,MEDIUM,Other,147100.0
2023,Senior,Full-time,Data Modeler,90700,USD,90700,US,On-Site,US,MEDIUM,Other,90700.0
2023,Senior,Full-time,Data Scientist,170000,USD,170000,US,On-Site,US,MEDIUM,Data Science,170000.0
2023,Senior,Full-time,Data Scientist,150000,USD,150000,US,On-Site,US,MEDIUM,Data Science,150000.0
2023,Mid/Intermediate level,Full-time,Data Analyst,150000,USD,150000,US,Full-Remote,US,MEDIUM,Data Engineering,150000.0
2023,Mid/Intermediate level,Full-time,Data Analyst,110000,USD,110000,US,Full-Remote,US,MEDIUM,Data Engineering,110000.0
2023,Senior,Full-time,Research Engineer,275000,USD,275000,DE,On-Site,DE,MEDIUM,Other,275000.0
2023,Senior,Full-time,Research Engineer,174000,USD,174000,DE,On-Site,DE,MEDIUM,Other,174000.0
2023,Senior,Full-time,Analytics Engineer,230000,USD,230000,GB,Full-Remote,GB,MEDIUM,Data Engineering,230000.0
2023,Senior,Full-time,Analytics Engineer,143200,USD,143200,GB,Full-Remote,GB,MEDIUM,Data Engineering,143200.0
2023,Senior,Full-time,Business Intelligence Engineer,225000,USD,225000,US,On-Site,US,MEDIUM,Data Engineering,225000.0
2023,Senior,Full-time,Business Intelligence Engineer,156400,USD,156400,US,On-Site,US,MEDIUM,Data Engineering,156400.0
2023,Senior,Full-time,Machine Learning Engineer,200000,USD,200000,US,On-Site,US,MEDIUM,Machine Learning,200000.0
2023,Senior,Full-time,Machine Learning Engineer,130000,USD,130000,US,On-Site,US,MEDIUM,Machine Learning,130000.0
2023,Senior,Full-time,Data Strategist,90000,USD,90000,CA,On-Site,CA,MEDIUM,Other,90000.0
2023,Senior,Full-time,Data Strategist,72000,USD,72000,CA,On-Site,CA,MEDIUM,Other,72000.0
2023,Senior,Full-time,Data Engineer,253200,USD,253200,US,On-Site,US,MEDIUM,Data Engineering,253200.0
2023,Senior,Full-time,Data Engineer,90700,USD,90700,US,On-Site,US,MEDIUM,Data Engineering,90700.0
2023,Senior,Full-time,Computer Vision Engineer,342810,USD,342810,US,On-Site,US,MEDIUM,Other,342810.0
2023,Senior,Full-time,Computer Vision Engineer,184590,USD,184590,US,On-Site,US,MEDIUM,Other,184590.0
2023,Mid/Intermediate level,Full-time,Data Engineer,162500,USD,162500,US,On-Site,US,MEDIUM,Data Engineering,162500.0
2023,Mid/Intermediate level,Full-time,Data Engineer,130000,USD,130000,US,On-Site,US,MEDIUM,Data Engineering,130000.0
2023,Mid/Intermediate level,Full-time,Data Analyst,105380,USD,105380,US,On-Site,US,MEDIUM,Data Engineering,105380.0
2023,Mid/Intermediate level,Full-time,Data Analyst,64500,USD,64500,US,On-Site,US,MEDIUM,Data Engineering,64500.0
2023,Entry level,Full-time,Data Quality Analyst,100000,USD,100000,NG,Full-Remote,NG,LARGE,Other,100000.0
2023,Entry level,Full-time,Compliance Data Analyst,30000,USD,30000,NG,Full-Remote,NG,LARGE,Other,30000.0
2022,Mid/Intermediate level,Full-time,Machine Learning Engineer,1650000,INR,20984,IN,Half-Remote,IN,LARGE,Machine Learning,23629.66272
2023,Entry level,Full-time,Applied Scientist,204620,USD,204620,US,On-Site,US,LARGE,Data Science,204620.0
2023,Entry level,Full-time,Applied Scientist,110680,USD,110680,US,On-Site,US,LARGE,Data Science,110680.0
2023,Senior,Full-time,Data Engineer,270703,USD,270703,US,On-Site,US,MEDIUM,Data Engineering,270703.0
2023,Senior,Full-time,Data Engineer,221484,USD,221484,US,On-Site,US,MEDIUM,Data Engineering,221484.0
2023,Senior,Full-time,Data Scientist,212750,USD,212750,US,Full-Remote,US,MEDIUM,Data Science,212750.0
2023,Senior,Full-time,Data Scientist,185000,USD,185000,US,Full-Remote,US,MEDIUM,Data Science,185000.0
2023,Senior,Full-time,Data Scientist,262000,USD,262000,US,Full-Remote,US,MEDIUM,Data Science,262000.0
2023,Senior,Full-time,Data Scientist,245000,USD,245000,US,Full-Remote,US,MEDIUM,Data Science,245000.0
2023,Senior,Full-time,Data Scientist,275300,USD,275300,US,Full-Remote,US,MEDIUM,Data Science,275300.0
2023,Senior,Full-time,Data Scientist,183500,USD,183500,US,Full-Remote,US,MEDIUM,Data Science,183500.0
2023,Senior,Full-time,Data Scientist,218500,USD,218500,US,Full-Remote,US,MEDIUM,Data Science,218500.0
2023,Senior,Full-time,Data Scientist,199098,USD,199098,US,Full-Remote,US,MEDIUM,Data Science,199098.0
2023,Senior,Full-time,Data Engineer,203300,USD,203300,US,Full-Remote,US,MEDIUM,Data Engineering,203300.0
2023,Senior,Full-time,Data Engineer,123600,USD,123600,US,Full-Remote,US,MEDIUM,Data Engineering,123600.0
2023,Senior,Full-time,Research Engineer,189110,USD,189110,US,On-Site,US,MEDIUM,Other,189110.0
2023,Senior,Full-time,Research Engineer,139000,USD,139000,US,On-Site,US,MEDIUM,Other,139000.0
2023,Executive level,Full-time,Data Scientist,258750,USD,258750,US,On-Site,US,MEDIUM,Data Science,258750.0
2023,Executive level,Full-time,Data Scientist,185000,USD,185000,US,On-Site,US,MEDIUM,Data Science,185000.0
2023,Senior,Full-time,Data Engineer,231500,USD,231500,US,Full-Remote,US,MEDIUM,Data Engineering,231500.0
2023,Senior,Full-time,Data Engineer,166000,USD,166000,US,Full-Remote,US,MEDIUM,Data Engineering,166000.0
2023,Senior,Full-time,Data Scientist,172500,USD,172500,US,Full-Remote,US,MEDIUM,Data Science,172500.0
2023,Senior,Full-time,Data Scientist,110500,USD,110500,US,Full-Remote,US,MEDIUM,Data Science,110500.0
2023,Senior,Full-time,Data Engineer,238000,USD,238000,US,On-Site,US,MEDIUM,Data Engineering,238000.0
2023,Senior,Full-time,Data Engineer,176000,USD,176000,US,On-Site,US,MEDIUM,Data Engineering,176000.0
2023,Senior,Full-time,Data Engineer,237000,USD,237000,US,Full-Remote,US,MEDIUM,Data Engineering,237000.0
2023,Senior,Full-time,Data Engineer,201450,USD,201450,US,Full-Remote,US,MEDIUM,Data Engineering,201450.0
2023,Senior,Full-time,Applied Scientist,309400,USD,309400,US,On-Site,US,LARGE,Data Science,309400.0
2023,Senior,Full-time,Applied Scientist,159100,USD,159100,US,On-Site,US,LARGE,Data Science,159100.0
2023,Senior,Full-time,Data Engineer,115000,USD,115000,US,On-Site,US,MEDIUM,Data Engineering,115000.0
2023,Senior,Full-time,Data Engineer,81500,USD,81500,US,On-Site,US,MEDIUM,Data Engineering,81500.0
2023,Senior,Full-time,Data Scientist,237000,USD,237000,US,Full-Remote,US,MEDIUM,Data Science,237000.0
2023,Senior,Full-time,Data Scientist,201450,USD,201450,US,Full-Remote,US,MEDIUM,Data Science,201450.0
2023,Senior,Full-time,Computer Vision Engineer,280000,USD,280000,US,On-Site,US,MEDIUM,Other,280000.0
2023,Senior,Full-time,Computer Vision Engineer,210000,USD,210000,US,On-Site,US,MEDIUM,Other,210000.0
2023,Senior,Full-time,Data Architect,280100,USD,280100,US,Full-Remote,US,MEDIUM,Data Architecture,280100.0
